"","date","county","state","fips","cases","deaths"
"1","03/14",NA,NA,NA,0,NA
"2","03/15",NA,NA,NA,0,NA
"3","03/16",NA,NA,NA,0,NA
"4","03/17",NA,NA,NA,0,NA
"5","03/18",NA,NA,NA,0,NA
"6","03/19",NA,NA,NA,0,NA
"7","03/20",NA,NA,NA,0,NA
"8","03/21",NA,NA,NA,0,NA
"9","03/22",NA,NA,NA,0,NA
"10","03/23",NA,NA,NA,0,NA
"11","03/24",NA,NA,NA,0,NA
"12","03/25","Providence","Rhode Island",44007,37,0
"13","03/26","Providence","Rhode Island",44007,42,0
"14","03/27","Providence","Rhode Island",44007,42,0
