"","Date","Italy"
"1","01/22",0
"2","01/23",0
"3","01/24",0
"4","01/25",0
"5","01/26",0
"6","01/27",0
"7","01/28",0
"8","01/29",0
"9","01/30",0
"10","01/31",2
"11","02/01",2
"12","02/02",2
"13","02/03",2
"14","02/04",2
"15","02/05",2
"16","02/06",2
"17","02/07",3
"18","02/08",3
"19","02/09",3
"20","02/10",3
"21","02/11",3
"22","02/12",3
"23","02/13",3
"24","02/14",3
"25","02/15",3
"26","02/16",3
"27","02/17",3
"28","02/18",3
"29","02/19",3
"30","02/20",3
"31","02/21",20
"32","02/22",62
"33","02/23",155
"34","02/24",229
"35","02/25",322
"36","02/26",453
"37","02/27",655
"38","02/28",888
"39","02/29",1128
"40","03/01",1694
"41","03/02",2036
"42","03/03",2502
"43","03/04",3089
"44","03/05",3858
"45","03/06",4636
"46","03/07",5883
"47","03/08",7375
"48","03/09",9172
"49","03/10",10149
"50","03/11",12462
"51","03/12",12462
"52","03/13",17660
"53","03/14",21157
"54","03/15",24747
"55","03/16",27980
"56","03/17",31506
"57","03/18",35713
"58","03/19",41035
"59","03/20",47021
"60","03/21",53578
"61","03/22",59138
"62","03/23",63927
"63","03/24",69176
"64","03/25",74386
"65","03/26",80589
"66","03/27",86498
"67","03/28",92472
"68","03/29",97689
"69","03/30",101739
"70","03/31",105792
