"","date","county","state","fips","cases","deaths"
"2164","03/14","New York City","New York",NA,269,1
"2575","03/15","New York City","New York",NA,330,5
"3034","03/16","New York City","New York",NA,464,7
"3550","03/17","New York City","New York",NA,645,10
"4151","03/18","New York City","New York",NA,1339,20
"4880","03/19","New York City","New York",NA,2468,22
"5729","03/20","New York City","New York",NA,4408,43
"6723","03/21","New York City","New York",NA,6211,60
"7818","03/22","New York City","New York",NA,9045,99
"9016","03/23","New York City","New York",NA,12305,131
"10326","03/24","New York City","New York",NA,14905,192
"11767","03/25","New York City","New York",NA,20011,280
"13381","03/26","New York City","New York",NA,23112,365
"15125","03/27","New York City","New York",NA,25399,450
