"","date","county","state","fips","cases","deaths"
"2145","2020-03-14","Mercer","New Jersey",34021,1,0
"2553","2020-03-15","Mercer","New Jersey",34021,1,0
"3010","2020-03-16","Mercer","New Jersey",34021,6,0
"3523","2020-03-17","Mercer","New Jersey",34021,9,0
"4119","2020-03-18","Mercer","New Jersey",34021,15,0
"4846","2020-03-19","Mercer","New Jersey",34021,20,0
"5690","2020-03-20","Mercer","New Jersey",34021,22,0
"6683","2020-03-21","Mercer","New Jersey",34021,30,0
"7774","2020-03-22","Mercer","New Jersey",34021,40,0
"8970","2020-03-23","Mercer","New Jersey",34021,50,0
"10277","2020-03-24","Mercer","New Jersey",34021,58,0
"11714","2020-03-25","Mercer","New Jersey",34021,82,0
"13328","2020-03-26","Mercer","New Jersey",34021,111,0
"15070","2020-03-27","Mercer","New Jersey",34021,131,0
