"","date","cases"
"36","02/01",1
"41","02/02",1
"46","02/03",1
"51","02/04",1
"56","02/05",1
"62","02/06",1
"68","02/07",1
"74","02/08",1
"80","02/09",1
"86","02/10",1
"92","02/11",1
"98","02/12",1
"105","02/13",1
"112","02/14",1
"119","02/15",1
"126","02/16",1
"133","02/17",1
"141","02/18",1
"149","02/19",1
"157","02/20",1
"165","02/21",1
"173","02/22",1
"181","02/23",1
"189","02/24",1
"197","02/25",1
"206","02/26",1
"215","02/27",1
"224","02/28",1
"234","02/29",1
"245","03/01",1
"259","03/02",2
"274","03/03",2
"290","03/04",2
"309","03/05",3
"333","03/06",8
"363","03/07",13
"398","03/08",28
"434","03/09",41
"471","03/10",92
"512","03/11",95
"559","03/12",108
"608","03/13",123
"659","03/14",138
"712","03/15",164
"765","03/16",197
"818","03/17",218
"872","03/18",256
"926","03/19",328
"980","03/20",413
"1034","03/21",525
"1088","03/22",646
"1142","03/23",777
"1196","03/24",1159
"1250","03/25",1838
"1304","03/26",2417
"1358","03/27",3240
"1412","03/28",4257
"1467","03/29",4955
"1522","03/30",5752
"1577","03/31",6620
"1632","04/01",7738
