"","date","cases"
"1","02/01",0
"2","02/02",0
"3","02/03",0
"4","02/04",0
"5","02/05",0
"6","02/06",0
"7","02/07",0
"8","02/08",0
"9","02/09",0
"10","02/10",0
"11","02/11",0
"12","02/12",0
"13","02/13",0
"14","02/14",0
"15","02/15",0
"16","02/16",0
"17","02/17",0
"18","02/18",0
"19","02/19",0
"20","02/20",0
"21","02/21",0
"22","02/22",0
"23","02/23",0
"24","02/24",0
"25","02/25",0
"26","02/26",0
"27","02/27",0
"28","02/28",0
"29","02/29",0
"30","03/01",1
"31","03/02",1
"32","03/03",2
"33","03/04",11
"34","03/05",22
"35","03/06",44
"36","03/07",89
"37","03/08",106
"38","03/09",142
"39","03/10",173
"40","03/11",217
"41","03/12",326
"42","03/13",421
"43","03/14",610
"44","03/15",732
"45","03/16",950
"46","03/17",1374
"47","03/18",2382
"48","03/19",4152
"49","03/20",7102
"50","03/21",10356
"51","03/22",15168
"52","03/23",20875
"53","03/24",25665
"54","03/25",33066
"55","03/26",38987
"56","03/27",44635
"57","03/28",53363
"58","03/29",59568
"59","03/30",67174
"60","03/31",75832
"61","04/01",83889
