"","date","cases"
"1","02/01",0
"2","02/02",0
"3","02/03",0
"4","02/04",0
"5","02/05",0
"6","02/06",0
"7","02/07",0
"8","02/08",0
"9","02/09",0
"10","02/10",0
"11","02/11",0
"12","02/12",0
"13","02/13",0
"14","02/14",0
"15","02/15",0
"16","02/16",0
"17","02/17",0
"18","02/18",0
"19","02/19",0
"20","02/20",0
"21","02/21",0
"22","02/22",0
"23","02/23",0
"24","02/24",0
"25","02/25",0
"26","02/26",0
"27","02/27",0
"28","02/28",0
"29","02/29",0
"30","03/01",0
"31","03/02",0
"32","03/03",0
"33","03/04",0
"34","03/05",0
"35","03/06",2
"36","03/07",4
"37","03/08",6
"38","03/09",10
"39","03/10",12
"40","03/11",16
"41","03/12",22
"42","03/13",41
"43","03/14",47
"44","03/15",68
"45","03/16",81
"46","03/17",101
"47","03/18",139
"48","03/19",187
"49","03/20",269
"50","03/21",388
"51","03/22",504
"52","03/23",644
"53","03/24",851
"54","03/25",1151
"55","03/26",1690
"56","03/27",2218
"57","03/28",2815
"58","03/29",3441
"59","03/30",4156
"60","03/31",4997
"61","04/01",5805
