"","Date","US"
"1","01/22",1
"2","01/23",1
"3","01/24",2
"4","01/25",2
"5","01/26",5
"6","01/27",5
"7","01/28",5
"8","01/29",5
"9","01/30",5
"10","01/31",7
"11","02/01",8
"12","02/02",8
"13","02/03",11
"14","02/04",11
"15","02/05",11
"16","02/06",11
"17","02/07",11
"18","02/08",11
"19","02/09",11
"20","02/10",11
"21","02/11",12
"22","02/12",12
"23","02/13",13
"24","02/14",13
"25","02/15",13
"26","02/16",13
"27","02/17",13
"28","02/18",13
"29","02/19",13
"30","02/20",13
"31","02/21",15
"32","02/22",15
"33","02/23",15
"34","02/24",51
"35","02/25",51
"36","02/26",57
"37","02/27",58
"38","02/28",60
"39","02/29",68
"40","03/01",74
"41","03/02",98
"42","03/03",118
"43","03/04",149
"44","03/05",217
"45","03/06",262
"46","03/07",402
"47","03/08",518
"48","03/09",583
"49","03/10",959
"50","03/11",1281
"51","03/12",1663
"52","03/13",2179
"53","03/14",2727
"54","03/15",3499
"55","03/16",4632
"56","03/17",6421
"57","03/18",7783
"58","03/19",13677
"59","03/20",19100
"60","03/21",25489
"61","03/22",33276
"62","03/23",43847
"63","03/24",53740
"64","03/25",65778
"65","03/26",83836
"66","03/27",101657
"67","03/28",121478
"68","03/29",140886
"69","03/30",161807
"70","03/31",188172
