"","date","county","state","fips","cases","deaths"
"1995","03/14","New Haven","Connecticut",9009,1,0
"2377","03/15","New Haven","Connecticut",9009,3,0
"2812","03/16","New Haven","Connecticut",9009,4,0
"3294","03/17","New Haven","Connecticut",9009,8,0
"3850","03/18","New Haven","Connecticut",9009,10,0
"4513","03/19","New Haven","Connecticut",9009,24,0
"5291","03/20","New Haven","Connecticut",9009,24,0
"6218","03/21","New Haven","Connecticut",9009,24,0
"7254","03/22","New Haven","Connecticut",9009,29,0
"8400","03/23","New Haven","Connecticut",9009,41,0
"9647","03/24","New Haven","Connecticut",9009,89,0
"11023","03/25","New Haven","Connecticut",9009,127,2
"12578","03/26","New Haven","Connecticut",9009,156,2
"14258","03/27","New Haven","Connecticut",9009,222,6
